"Firmware Ver", "SDK Ver",		"Date",			"Japan",	"America",	"Europe",	"China",	"Korea",	"Taiwan"
"0.7.0",		"0.7.0",		"2009/12/22",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.8.0",		"0.8.0",		"2010/02/10",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.0",		"0.9.0",		"2010/04/14",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.1",		"0.9.1",		"2010/04/23",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.2",		"0.9.2",		"2010/05/07",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.3",		"0.9.3",		"2010/05/12",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.4",		"0.9.4",		"2010/05/19",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.5",		"0.9.5",		"2010/05/??",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.6",		"0.9.6",		"2010/05/24",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.9.7",		"0.9.7",		"2010/05/26",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.10.0",		"0.10.0",		"2010/06/23",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.10.1",		"0.10.1",		"2010/07/05",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.10.2",		"0.10.2",		"2010/07/06",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.11.0",		"0.11.0",		"2010/07/22",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.12.0",		"0.12.0",		"2010/08/20",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.13.0",		"0.13.0",		"2010/09/28",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0",		"0.14.0",		"2010/11/01",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0.1",		"0.14.0.1",		"2010/11/03",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0.2",		"0.14.0.2",		"2010/11/05",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0.3",		"0.14.0.3",		"2010/11/06",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0.4",		"0.14.0.4",		"2010/11/08",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.0.5",		"0.14.0.5",		"2010/11/09",	"No ",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.1",		"0.14.1",		"2010/11/15",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.2",		"0.14.2",		"2010/11/17",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.3",		"0.14.3",		"2010/11/19",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.4",		"0.14.4",		"2010/11/23",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.5",		"0.14.5",		"2010/11/26",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.6",		"0.14.6",		"2010/11/30",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.7",		"0.14.7",		"2010/12/03",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.8",		"0.14.8",		"2010/12/07",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.9",		"0.14.9",		"2010/12/11",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.10",		"0.14.10",		"2010/12/13",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.11",		"0.14.11",		"2010/12/15",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.12",		"0.14.12",		"2010/12/17",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.13",		"0.14.13",		"2010/12/20",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.14",		"0.14.14",		"2010/12/22",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.15",		"0.14.15",		"2010/12/25",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.15.1",	"0.14.15.1",	"2010/12/26",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.16",		"0.14.16",		"2010/12/28",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.17",		"0.14.17",		"2010/12/30",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.18",		"0.14.18",		"2010/12/31",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.19",		"0.14.19",		"2010/01/03",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.20",		"0.14.20",		"2011/01/04",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.21",		"0.14.21",		"2011/01/05",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.22",		"0.14.22",		"2011/01/06",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.23",		"0.14.23",		"2011/01/07",	"Yes",		"   ",		"   ",		"   ",		"   ",		"   "
"0.14.24",		"0.14.24",		"2011/04/15",	"Yes",		"Yes",		"Yes",		"   ",		"   ",		"   "
"?.??.?",		"2.0.0",		"2011/02/24",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"?.??.?",		"2.1.0",		"2011/03/25",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.3",		"2.2.0",		"2011/04/12",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.4",		"2.3.0",		"2011/04/15",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.5",		"2.3.1",		"2011/04/21",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.6",		"2.3.2",		"2011/04/27",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.7",		"2.3.3",		"2011/05/11",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.8",		"2.3.4",		"2011/05/18",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.9",		"2.3.4",		"2011/05/24",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.16",		"2.3.4",		"2011/05/27",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.17",		"2.3.4",		"2011/06/01",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.18",		"2.3.4",		"2011/06/08",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.15.19",		"2.3.4",		"2011/06/09",	"Yes",		"Yes",		"Yes",		"   ",		"   ",		"   "
"0.15.20",		"2.4.0",		"2011/06/28",	"Yes",		"Yes",		"Yes",		"   ",		"   ",		"   "
"0.16.0",		"3.0.0",		"2011/08/05",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.1",		"3.1.0",		"2011/09/08",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.4",		"3.2.0",		"2011/09/30",	"Yes",		"Yes",		"Yes",		"   ",		"   ",		"   "
"0.16.6",		"3.2.0",		"2011/10/14",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.7",		"3.2.1",		"2011/10/21",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.8",		"3.2.2",		"2011/10/28",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.9",		"3.2.3",		"2011/11/04",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.12",		"3.2.4",		"2011/11/11",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.13",		"3.2.4",		"2011/11/14",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.14",		"3.2.4",		"2011/11/15",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.15",		"3.2.4",		"2011/11/17",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.17",		"3.2.4",		"2011/11/18",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.18",		"3.2.4",		"2011/11/22",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.19",		"3.2.4",		"2011/11/23",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.20",		"3.2.5",		"2011/11/25",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
"0.16.21",		"3.2.5",		"2011/11/28",	"No ",		"No ",		"No ",		"   ",		"   ",		"   "
